Accession,Submitters,Release_Date,Pangolin,Species,Molecule_type,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MT358667.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,complete,USA: WA,WA,Homo sapiens,,2020-03-30
MT358668.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT358669.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358670.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT358671.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,complete,USA: WA,WA,Homo sapiens,,2020-03-30
MT358672.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29832,complete,USA: WA,WA,Homo sapiens,,2020-03-30
MT358673.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,complete,USA: CT,CT,Homo sapiens,,2020-03-30
MT358674.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29813,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358675.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358677.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29831,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358678.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29832,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358679.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29832,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358680.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29815,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358681.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29831,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358682.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358683.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29832,complete,USA: WA,WA,Homo sapiens,,2020-03-25
MT358684.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29875,complete,USA: WA,WA,Homo sapiens,,2020-03-25
MT358685.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.413,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29871,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358687.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358688.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29851,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358689.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358690.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.3,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29862,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358691.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29835,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358692.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.38,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29832,complete,USA: WA,WA,Homo sapiens,,2020-03-25
MT358693.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,complete,USA: CT,CT,Homo sapiens,,2020-03-25
MT358694.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29883,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358695.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29892,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358696.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358697.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29813,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358698.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29860,complete,USA: WA,WA,Homo sapiens,,2020-03-25
MT358699.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358700.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29851,complete,USA: WA,WA,Homo sapiens,,2020-03-26
MT358701.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,complete,USA: WA,WA,Homo sapiens,,2020-03-25
MT358702.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29889,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358703.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29855,complete,USA: ID,ID,Homo sapiens,,2020-03-25
MT358705.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29910,complete,USA: ID,ID,Homo sapiens,,2020-03-29
MT358706.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT358707.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29813,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT358708.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29720,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358709.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.30,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA: ID,ID,Homo sapiens,,2020-03-26
MT358710.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29869,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358711.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29844,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358712.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358713.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29835,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358714.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29826,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358715.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358716.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29920,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358717.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29847,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358718.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.320,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358719.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358720.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29776,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358721.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29891,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358722.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358723.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358724.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358725.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29826,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358726.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29859,complete,USA: WA,WA,Homo sapiens,,2020-03-27
MT358727.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29651,complete,USA: WA,WA,Homo sapiens,,2020-03-30
MT358728.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29835,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT358729.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29823,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT358730.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.333,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358731.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29815,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358732.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29828,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358733.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358734.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29919,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358735.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,complete,USA: WA,WA,Homo sapiens,,2020-03-28
MT358736.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358737.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,complete,USA: WA,WA,Homo sapiens,,2020-03-28
MT358738.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29853,complete,USA: WA,WA,Homo sapiens,,2020-03-28
MT358739.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.446,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358740.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29895,complete,USA: WA,WA,Homo sapiens,,2020-03-28
MT358741.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29875,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358742.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29888,complete,USA: WA,WA,Homo sapiens,,2020-03-29
MT358743.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29877,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT358744.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT358745.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29838,complete,USA: ID,ID,Homo sapiens,,2020-03-29
MT358746.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.446,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29838,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT358747.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29871,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT358748.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-20T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29878,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT350236.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350237.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350238.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29826,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350239.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350240.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350241.1,"Fink,L.",2020-04-17T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29857,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350242.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350243.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.439,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29856,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350244.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.439,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29870,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350245.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350246.1,"Fink,L.",2020-04-17T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29851,complete,USA: VA,VA,Homo sapiens,,2020-04
MT350247.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29883,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350248.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350249.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29891,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350250.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.439,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350251.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29887,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350252.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29894,complete,USA: VA,VA,Homo sapiens,,2020-03
MT350253.1,"Fink,L.",2020-04-17T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,complete,USA: VA,VA,Homo sapiens,,2020-04
MT350254.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,complete,USA: VA,VA,Homo sapiens,,2020-04
MT350255.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29858,complete,USA: VA,VA,Homo sapiens,,2020-04
MT350256.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29835,complete,USA: VA,VA,Homo sapiens,,2020-04
MT350257.1,"Fink,L.",2020-04-17T00:00:00Z,B.1.37,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29860,complete,USA: VA,VA,Homo sapiens,,2020-04
MT350263.1,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350264.1,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350265.1,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350266.1,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350267.1,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350268.1,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350269.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-20
MT350270.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350271.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-20
MT350272.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350273.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350274.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350275.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350276.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350277.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
MT350278.1,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",2020-04-17T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-03-19
